price,quantity
0.7149,3417.0
0.715,32685.0
0.7151,1721.0
0.7152,2948.0
0.7153,961.0
0.7154,1863.0
0.7155,679.0
0.7156,27.0
0.7157,122.0
0.7158,50.0
0.7159,581.0
0.716,499.0
0.7161,4147.0
0.7162,77.0
0.7163,538.0
0.7164,2679.0
0.7165,94.0
0.7166,197.0
0.7167,666.0
0.7168,16818.0
0.7169,259.0
0.717,13713.0
0.7171,217.0
0.7172,788.0
0.7173,75.0
0.7174,273.0
0.7175,2172.0
0.7176,894.0
0.7177,2667.0
0.7178,102.0
0.7179,265.0
0.718,5732.0
0.7181,1108.0
0.7182,40.0
0.7183,284.0
0.7184,439.0
0.7185,755.0
0.7186,1339.0
0.7187,436.0
0.7188,616.0
0.7189,27.0
0.719,1884.0
0.7191,1278.0
0.7192,97.0
0.7193,570.0
0.7194,7418.0
0.7195,5245.0
0.7196,21.0
0.7197,959.0
0.7198,3535.0
0.7199,382.0
0.72,125204.0
0.7201,347.0
0.7202,659.0
0.7203,778.0
0.7204,48.0
0.7205,2160.0
0.7206,1057.0
0.7207,11350.0
0.7208,187.0
0.7209,430.0
0.721,14608.0
0.7211,1457.0
0.7212,1118.0
0.7213,110.0
0.7214,766.0
0.7215,2029.0
0.7216,157.0
0.7217,297.0
0.7218,6258.0
0.7219,4634.0
0.722,38327.0
0.7221,2723.0
0.7222,451623.0
0.7223,1544.0
0.7224,660.0
0.7225,997.0
0.7226,306.0
0.7227,159.0
0.7228,3790.0
0.7229,127.0
0.723,1792.0
0.7231,551.0
0.7232,146.0
0.7233,45.0
0.7234,103.0
0.7235,1427.0
0.7236,144.0
0.7237,152.0
0.7238,853.0
0.7239,253.0
0.724,12990.0
0.7241,2541.0
0.7242,8500.0
0.7243,2140.0
0.7244,120.0
0.7245,23.0
0.7246,844.0
0.7247,811.0
0.7248,270.0
0.7249,1518.0
0.725,9986.0
0.7251,1923.0
0.7252,468.0
0.7253,3974.0
0.7254,3920.0
0.7255,1675.0
0.7256,4573.0
0.7257,91.0
0.7258,513.0
0.7259,135.0
0.726,2659.0
0.7261,939.0
0.7262,1644.0
0.7263,1365.0
0.7264,293.0
0.7265,606.0
0.7266,1043.0
0.7267,675.0
0.7268,572.0
0.7269,1029.0
0.727,27155.0
0.7271,9546.0
0.7272,689.0
0.7273,966.0
0.7274,7321.0
0.7275,255.0
0.7276,3053.0
0.7277,11586.0
0.7278,162.0
0.7279,32.0
0.728,20061.0
0.7281,294.0
0.7282,1412.0
0.7283,73.0
0.7284,25954.0
0.7285,343.0
0.7286,515.0
0.7287,820.0
0.7288,5959.0
0.7289,496.0
0.729,1162.0
0.7291,898.0
0.7292,431.0
0.7293,882.0
0.7294,36.0
0.7295,605.0
0.7296,238.0
0.7297,179.0
0.7298,429.0
0.7299,1218.0
0.73,52007.0
0.7301,342.0
0.7302,729.0
0.7303,159.0
0.7304,4171.0
0.7305,1443.0
0.7306,256.0
0.7307,3271.0
0.7308,1924.0
0.7309,6743.0
0.731,10810.0
0.7311,1171.0
0.7312,164.0
0.7313,989.0
0.7314,8392.0
0.7315,2637.0
0.7316,902.0
0.7317,2187.0
0.7318,2023.0
0.7319,655.0
0.732,3382.0
0.7321,847.0
0.7322,2362.0
0.7323,119.0
0.7324,903.0
0.7325,1225.0
0.7326,425.0
0.7327,83.0
0.7328,832.0
0.7329,378.0
0.733,15390.0
0.7331,507.0
0.7332,1596.0
0.7333,1224.0
0.7334,329.0
0.7335,197.0
0.7336,3358.0
0.7337,1371.0
