price,quantity
0.845,19708.0
0.8451,1403.0
0.8452,2929.0
0.8453,112.0
0.8454,5049.0
0.8455,6258.0
0.8456,284.0
0.8457,996.0
0.8458,1408.0
0.8459,1165.0
0.846,8336.0
0.8461,315.0
0.8462,593.0
0.8463,6675.0
0.8464,6032.0
0.8465,283.0
0.8466,227.0
0.8467,237.0
0.8468,470.0
0.8469,2561.0
0.847,3178.0
0.8471,1504.0
0.8472,1551.0
0.8473,2565.0
0.8474,1180.0
0.8475,72500.0
0.8476,4330.0
0.8477,1039.0
0.8478,50157.0
0.8479,551.0
0.848,32194.0
0.8481,2445.0
0.8482,12224.0
0.8483,4501.0
0.8484,1668.0
0.8485,2641.0
0.8486,414.0
0.8487,4691.0
0.8488,4982.0
0.8489,6925.0
0.849,4456.0
0.8491,6382.0
0.8492,252.0
0.8493,4412.0
0.8494,9466.0
0.8495,879.0
0.8496,9851.0
0.8497,1930.0
0.8498,156.0
0.8499,1030.0
0.85,240005.0
0.8501,60424.0
0.8502,811.0
0.8503,72536.0
0.8504,382.0
0.8505,668.0
0.8506,4515.0
0.8507,1066.0
0.8508,728.0
0.8509,127.0
0.851,691.0
0.8511,1777.0
0.8512,19362.0
0.8513,2577.0
0.8514,259.0
0.8515,2755.0
0.8516,2562.0
0.8517,644.0
0.8518,552.0
0.8519,889.0
0.852,1607.0
0.8521,11570.0
0.8522,3708.0
0.8523,1017.0
0.8524,302.0
0.8525,502.0
0.8526,1348.0
0.8527,5374.0
0.8528,75.0
0.8529,812.0
0.853,6522.0
0.8531,940.0
0.8532,2200.0
0.8533,4700.0
0.8534,2578.0
0.8535,620.0
0.8536,590.0
0.8537,2915.0
0.8538,852.0
0.8539,21.0
0.854,2340.0
0.8541,2865.0
0.8542,441.0
0.8543,766.0
0.8544,100.0
0.8545,9275.0
0.8546,849.0
0.8547,1915.0
0.8548,4225.0
0.8549,3368.0
0.855,103253.0
0.8551,1017.0
0.8552,81.0
0.8553,977.0
0.8554,4808.0
0.8555,6020.0
0.8556,248.0
0.8557,1375.0
0.8558,1302.0
0.8559,1280.0
0.856,2196.0
0.8561,602.0
0.8562,475.0
0.8563,2003.0
0.8564,1376.0
0.8565,245.0
0.8566,2567.0
0.8567,151.0
0.8568,565.0
0.8569,9281.0
0.857,3156.0
0.8571,2692.0
0.8572,6401.0
0.8573,761.0
0.8574,84.0
0.8575,2189.0
0.8576,447.0
0.8577,142.0
0.8578,1045.0
0.8579,625.0
0.858,3206.0
0.8581,2072.0
0.8582,1368.0
0.8583,928.0
0.8584,1147.0
0.8585,1506.0
0.8586,211.0
0.8587,844.0
0.8588,500.0
0.8589,4528.0
0.859,695.0
0.8591,1075.0
0.8592,32.0
0.8593,410.0
0.8594,1232.0
0.8595,7039.0
0.8596,537.0
0.8597,3645.0
0.8598,2253.0
0.8599,138.0
0.86,102096.0
0.8601,2131.0
0.8602,137.0
0.8603,2079.0
0.8604,345.0
0.8605,601.0
0.8606,179.0
0.8607,1986.0
0.8608,826.0
0.8609,1263.0
0.861,1345.0
0.8611,106.0
0.8612,1373.0
0.8613,806.0
0.8614,1021.0
0.8615,1852.0
0.8616,347.0
0.8617,2255.0
0.8618,336.0
0.8619,382.0
0.862,1049.0
0.8621,305.0
0.8622,115.0
0.8623,3009.0
0.8624,23430.0
0.8625,2947.0
0.8626,71.0
0.8627,1988.0
0.8628,1059.0
0.8629,495.0
0.863,437.0
0.8631,9062.0
0.8632,485.0
0.8633,252.0
0.8634,502.0
0.8635,4956.0
0.8636,2709.0
0.8637,624.0
0.8638,6364.0
0.8639,6394.0
0.864,1968.0
0.8641,1751.0
0.8642,725.0
0.8643,1751.0
0.8644,342.0
0.8645,51.0
0.8646,881.0
0.8647,6144.0
0.8648,867.0
0.8649,2064.0
0.865,13515.0
0.8651,217.0
0.8652,520.0
0.8653,864.0
0.8654,460.0
0.8655,8426.0
0.8656,289.0
0.8657,2090.0
0.8658,5072.0
0.8659,5831.0
0.866,36772.0
0.8661,106.0
0.8662,93.0
0.8663,733.0
0.8664,939.0
0.8665,580.0
0.8666,371.0
0.8667,5200.0
0.8668,2868.0
0.8669,2458.0
0.867,1238.0
0.8671,166.0
0.8672,518.0
0.8673,329.0
0.8674,155.0
0.8675,1491.0
0.8676,2595.0
0.8677,459.0
0.8678,2965.0
0.8679,847.0
0.868,14492.0
0.8681,1582.0
0.8682,492.0
0.8683,6401.0
0.8684,4217.0
0.8685,249.0
0.8686,1664.0
0.8687,1532.0
0.8688,13537.0
0.8689,10945.0
0.869,9968.0
0.8691,677.0
0.8692,1600.0
0.8693,1192.0
0.8694,810.0
0.8695,167.0
0.8697,341.0
0.8698,290.0
0.8699,2504.0
0.87,32114.0
0.8701,88.0
0.8702,54.0
0.8703,204.0
0.8704,16344.0
0.8705,657.0
0.8706,441.0
0.8707,132.0
0.8708,263.0
0.8709,543.0
0.871,79389.0
0.8711,884.0
0.8712,1930.0
0.8713,943.0
0.8714,630.0
0.8715,1744.0
0.8716,5369.0
0.8717,686.0
0.8718,236.0
0.8719,22020.0
0.872,4878.0
0.8721,955.0
0.8722,136.0
0.8723,2179.0
0.8724,388.0
0.8725,156.0
0.8726,639.0
0.8727,17582.0
0.8728,902.0
0.8729,3601.0
0.873,17611.0
0.8731,417.0
0.8732,135.0
0.8733,131.0
0.8734,842.0
0.8735,652.0
0.8736,620.0
0.8737,1267.0
0.8738,310.0
0.8739,356.0
0.874,745.0
0.8741,373.0
0.8742,1920.0
0.8743,1287.0
0.8744,409.0
0.8745,178.0
0.8746,547.0
0.8747,12098.0
0.8748,4865.0
0.8749,871.0
0.875,4579.0
0.8751,328.0
0.8752,390.0
0.8753,1411.0
0.8754,5356.0
0.8755,588.0
0.8756,1178.0
0.8757,896.0
0.8758,6300.0
